chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000001	-9	0	X	Y	0.264	-4.692977e-01	9.715761e-01	2.818792e-01	6.295261e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31443144	3010274	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs6269442	3492195	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32285189	3511204	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs258367496	3659804	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs32430919	3777023	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs36251697	3812265	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs30658298	4430623	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs31879829	4518714	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs36742481	4776319	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs6365999	4820983	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
1	rs13470446	4846561	0	X	Y	0.263	-5.265097e-01	9.684623e-01	2.724736e-01	5.871941e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000111	-9	0	X	Y	0.267	-5.123399e-01	9.639062e-01	2.717817e-01	5.955573e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000112	-9	0	X	Y	0.271	-4.380562e-01	9.796991e-01	2.865763e-01	6.551905e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000008	-9	0	X	Y	0.268	-4.764608e-01	9.727951e-01	2.901093e-01	6.247427e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000002	-9	0	X	Y	0.268	-4.764608e-01	9.727951e-01	2.901093e-01	6.247427e-01	1	Cytotoxicity in spleen T cells 30 days post 5x109 PFU AdLacZ iv injection 
