chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000001	-9	0	X	Y	0.264	-1.374218e+00	2.256597e+00	6.122662e-01	5.431273e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31443144	3010274	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs6269442	3492195	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32285189	3511204	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs258367496	3659804	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32430919	3777023	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs36251697	3812265	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs30658298	4430623	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31879829	4518714	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs36742481	4776319	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs6365999	4820983	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs13470446	4846561	0	X	Y	0.263	-1.129711e+00	2.256458e+00	6.188004e-01	6.170812e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000111	-9	0	X	Y	0.267	-1.232302e+00	2.245645e+00	6.235647e-01	5.836965e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000112	-9	0	X	Y	0.271	-1.597223e+00	2.291106e+00	6.556018e-01	4.864039e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000008	-9	0	X	Y	0.268	-1.426534e+00	2.275905e+00	6.529584e-01	5.313998e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000002	-9	0	X	Y	0.268	-1.426534e+00	2.275905e+00	6.529584e-01	5.313998e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000009	-9	1	X	Y	0.269	-1.431996e+00	2.286165e+00	6.556303e-01	5.316771e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs6376963	5018010	0	X	Y	0.270	-1.421503e+00	2.282747e+00	6.572343e-01	5.340752e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000120	-9	0	X	Y	0.270	-1.421503e+00	2.282747e+00	6.572343e-01	5.340752e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000010	-9	0	X	Y	0.272	-1.672301e+00	2.290815e+00	6.618463e-01	4.661157e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs30847416	5025197	0	X	Y	0.272	-1.672301e+00	2.290815e+00	6.618463e-01	4.661157e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31625087	5119671	0	X	Y	0.272	-1.672301e+00	2.290815e+00	6.618463e-01	4.661157e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31716357	5155818	0	X	Y	0.272	-1.672301e+00	2.290815e+00	6.618463e-01	4.661157e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs3677817	5185979	0	X	Y	0.272	-1.672301e+00	2.290815e+00	6.618463e-01	4.661157e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000121	-9	1	X	Y	0.272	-1.679356e+00	2.290886e+00	6.622855e-01	4.642527e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000011	-9	1	X	Y	0.270	-1.968443e+00	2.290813e+00	6.548580e-01	3.910635e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs47937185	5316776	0	X	Y	0.269	-1.871019e+00	2.282355e+00	6.486058e-01	4.131748e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000012	-9	0	X	Y	0.269	-1.871019e+00	2.282355e+00	6.486058e-01	4.131748e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000148	-9	0	X	Y	0.269	-1.871019e+00	2.282355e+00	6.486058e-01	4.131748e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000013	-9	0	X	Y	0.278	-1.847620e+00	2.321946e+00	6.493636e-01	4.269976e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32140280	5641533	0	X	Y	0.278	-1.847620e+00	2.321946e+00	6.493636e-01	4.269976e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000014	-9	1	X	Y	0.280	-1.867144e+00	2.330527e+00	6.541482e-01	4.238437e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32096391	6097778	0	X	Y	0.280	-1.866470e+00	2.330512e+00	6.537173e-01	4.240078e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000015	-9	0	X	Y	0.280	-1.866470e+00	2.330512e+00	6.537173e-01	4.240078e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000176	-9	0	X	Y	0.280	-1.866470e+00	2.330512e+00	6.537173e-01	4.240078e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000016	-9	0	X	Y	0.282	-1.662063e+00	2.333750e+00	6.623585e-01	4.770564e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs47493511	6357478	0	X	Y	0.282	-1.662063e+00	2.333750e+00	6.623585e-01	4.770564e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000180	-9	0	X	Y	0.282	-1.662063e+00	2.333750e+00	6.623585e-01	4.770564e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000017	-9	0	X	Y	0.284	-1.703686e+00	2.343705e+00	6.719886e-01	4.679984e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31190522	6747440	0	X	Y	0.284	-1.703686e+00	2.343705e+00	6.719886e-01	4.679984e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs6298633	6830161	0	X	Y	0.284	-1.703686e+00	2.343705e+00	6.719886e-01	4.679984e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31362910	9843988	0	X	Y	0.284	-1.703686e+00	2.343705e+00	6.719886e-01	4.679984e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000184	-9	1	X	Y	0.285	-1.654229e+00	2.352428e+00	6.729202e-01	4.826266e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000018	-9	1	X	Y	0.285	-1.654229e+00	2.352428e+00	6.729202e-01	4.826266e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000255	-9	1	X	Y	0.285	-1.654229e+00	2.352428e+00	6.729202e-01	4.826266e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000019	-9	1	X	Y	0.282	-2.340818e+00	2.350554e+00	6.944641e-01	3.203436e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000261	-9	1	X	Y	0.282	-2.340818e+00	2.350554e+00	6.944641e-01	3.203436e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31878990	10098253	0	X	Y	0.284	-1.660091e+00	2.342981e+00	6.724154e-01	4.793133e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000262	-9	0	X	Y	0.283	-1.604401e+00	2.331696e+00	6.721868e-01	4.920789e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000263	-9	0	X	Y	0.283	-1.604401e+00	2.331696e+00	6.721868e-01	4.920789e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000020	-9	0	X	Y	0.281	-2.343097e+00	2.342184e+00	6.941596e-01	3.181509e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32186775	10162992	0	X	Y	0.281	-2.343097e+00	2.342184e+00	6.941596e-01	3.181509e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000265	-9	1	X	Y	0.280	-2.391302e+00	2.348838e+00	6.995431e-01	3.096874e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000021	-9	1	X	Y	0.282	-2.493833e+00	2.359859e+00	7.268807e-01	2.917007e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000271	-9	1	X	Y	0.282	-2.493833e+00	2.359859e+00	7.268807e-01	2.917007e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000022	-9	1	X	Y	0.279	-2.341752e+00	2.384566e+00	7.250990e-01	3.270873e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs31868650	10809088	0	X	Y	0.278	-2.346697e+00	2.384641e+00	7.257734e-01	3.260843e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000023	-9	2	X	Y	0.277	-2.417170e+00	2.398294e+00	7.175789e-01	3.145534e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs6360236	11083825	0	X	Y	0.274	-2.435660e+00	2.379980e+00	7.018399e-01	3.071733e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32740138	11416077	0	X	Y	0.275	-2.467822e+00	2.375511e+00	7.003728e-01	2.999379e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs249962268_D1Mit1	11515522	0	X	Y	0.275	-2.467822e+00	2.375511e+00	7.003728e-01	2.999379e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000280	-9	0	X	Y	0.275	-2.467822e+00	2.375511e+00	7.003728e-01	2.999379e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000024	-9	0	X	Y	0.270	-2.127894e+00	2.387096e+00	7.084928e-01	3.736181e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs30991578	11793253	0	X	Y	0.271	-2.125298e+00	2.386506e+00	7.117454e-01	3.740825e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32347261	12740981	0	X	Y	0.271	-2.125298e+00	2.386506e+00	7.117454e-01	3.740825e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000292	-9	0	X	Y	0.271	-2.125298e+00	2.386506e+00	7.117454e-01	3.740825e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000025	-9	0	X	Y	0.259	-1.098140e+00	2.403469e+00	7.053237e-01	6.481666e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000306	-9	0	X	Y	0.259	-1.098140e+00	2.403469e+00	7.053237e-01	6.481666e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000026	-9	0	X	Y	0.262	-1.494991e+00	2.407298e+00	7.184768e-01	5.351854e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs36585555	12938444	0	X	Y	0.262	-1.494991e+00	2.407298e+00	7.184768e-01	5.351854e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs30477285	12994801	0	X	Y	0.263	-1.442943e+00	2.399876e+00	7.136678e-01	5.482482e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000308	-9	0	X	Y	0.263	-1.442943e+00	2.399876e+00	7.136678e-01	5.482482e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000027	-9	0	X	Y	0.266	-6.451547e-01	2.395472e+00	6.899793e-01	7.879178e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000309	-9	0	X	Y	0.264	-8.638200e-01	2.400267e+00	6.931410e-01	7.192564e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000028	-9	0	X	Y	0.264	-8.638200e-01	2.400267e+00	6.931410e-01	7.192564e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000317	-9	0	X	Y	0.264	-8.638200e-01	2.400267e+00	6.931410e-01	7.192564e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000318	-9	0	X	Y	0.267	-1.027725e+00	2.409276e+00	7.038061e-01	6.700830e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
-9	rsm10000000029	-9	0	X	Y	0.267	-1.027725e+00	2.409276e+00	7.038061e-01	6.700830e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs32223513	13055719	0	X	Y	0.267	-1.027725e+00	2.409276e+00	7.038061e-01	6.700830e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
1	rs45688852	13073341	0	X	Y	0.267	-1.027725e+00	2.409276e+00	7.038061e-01	6.700830e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time15 min of 18week old males mgdl
